dim0	dim1	weight
-0.18405755828182624	7.79748196917589	482
-1.8019702079168645	3.3604161238292214	434
3.2777669261107842	8.878891938091833	436
-0.060850442173852846	1.999592394201281	892
-6.793115385754737	8.186403584197187	381
1.6224175087001063	3.411152837967609	977
-3.0337717762502225	8.561821714961212	277
-7.962031059161141	9.378239619095654	288
5.217813717575844	8.892680608841797	514
-5.73020193578712	9.971521544085757	274
-0.2844798089421368	5.1984275267652915	518
5.147492529450844	6.863750510983704	629
-5.2501591774049325	7.626764569232551	300
-3.6512014136850364	5.229539808536004	298
-1.246013340749823	9.120226267212486	360
1.339077076714598	8.997903566778554	500
4.379741855831764	10.68973790202538	383
1.844575879268763	1.4818219967118134	1091
-1.458210320303946	6.942017136467884	559
2.1619880608445183	6.836882992444823	305
4.021066930707405	3.624985164489856	528
9.607765635737193	5.633698611674107	279
7.093076830500939	4.334894982339225	382
8.73854815756825	7.365120524402271	186
10.695477975868473	7.521335745975507	162
3.6208089757387896	-5.585253936447899	1008
2.6225448883232176	-0.9665646780938104	1139
4.56880698023238	-0.6385440686945643	1189
9.097757459835345	3.1127247632214554	1071
10.256937630367863	6.52484970169524	220
6.91053239962109	-1.863392523302181	593
8.51008831354718	5.196811465405197	294
6.725629951870553	-7.691678729933687	693
9.817652598542676	-2.2947603607261366	459
6.682861296013912	3.523446996957094	530
5.642365332535772	-5.334744128067485	683
2.9500074737420543	-3.803052912217723	1005
9.700569148298918	1.431310633951019	711
10.506979477590091	-8.281085512232927	228
4.396032336902966	-7.8963905872369615	946
6.620804604681657	1.1873263087395216	1070
3.7300967722281126	1.3701213384563515	736
6.222489962833951	-9.83953021911554	562
8.262524767326346	7.848312601875996	127
9.311058669465181	-7.020545556919382	215
1.0371941888752532	-2.594996735871362	603
0.8511597896019356	-0.3601266474322082	676
8.913144158826153	-0.5457953384631585	512
7.867508138096802	-3.598005247495582	380
3.8883412514878968	-9.851672854770623	385
8.194466891472103	-9.228659495556274	270
1.2527713521056485	-5.374651136895277	745
4.704523312634138	-3.203912638144076	832
1.8160320700951624	-8.538706650879096	466
1.1161606883222508	-10.094573246787684	216
-0.0365704526071883	-7.835106040954585	293
-0.44980179796480846	-9.9314671759137	152
-9.269421069236875	-1.76931500283875	530
-5.216702203335698	-6.800121649647264	894
-1.669961143477691	-8.977755155766017	343
2.941989112716002	-9.979576790747902	282
-3.854521486846425	-5.6569058431573165	650
-1.7183982796225228	0.6848151561140594	411
-6.922292830993533	-7.104853095584867	641
-1.0221095570009981	-2.350709507492048	269
-3.99299794655714	-8.212567596138117	689
-8.564795096391967	3.401839489837485	685
0.5311527772363097	-9.341320039925197	240
-5.984521086332638	-9.378973760754468	648
-6.769750687039931	3.2663889586505372	725
-0.2834359343030826	-5.476517648350884	442
-4.620555946484961	-0.6817588362101589	333
-3.90790621258383	-2.7549396695526176	629
-7.56136274579239	5.832845737190111	606
-10.23344210605656	-8.90716167152083	278
-7.07682946200913	1.4673344002615138	561
-9.71388231577386	6.771667397191887	471
-9.053004114827926	-7.634368959061947	412
-2.106813421675975	-6.892743253140132	587
-8.85646785271533	-4.280356936924227	500
-4.022575299491503	3.3717490662698766	504
0.510454391805662	-7.453637056831877	271
-7.256637342688762	7.888939399217202	514
-10.693189399223254	-3.4202503613341757	377
-1.9114370457410823	-4.978327132325638	423
-8.120089480829197	-9.187787939852301	413
4.87585560089649	-10.422008107096268	251
-6.330076019506628	-4.029745946271894	710
-9.782945181683408	1.5481094273054241	384
-5.003953756486851	5.209843594432868	393
-8.78696763930178	8.586781485195884	267
-6.6225249507101696	9.85323705780986	266
-4.898608721216991	1.7458441259932755	520
-10.29295830118337	4.097775366552036	268
-5.107435928989977	8.559012144083626	294
-7.046848428075439	-1.931327952620883	388
-2.764953334690111	-1.2269994109752904	457
-2.2419386573891806	2.493638028156975	437
-2.6105911174587098	8.109356643754042	313
-2.2371037249333465	5.227274172535967	243
1.4368640432827615	-12.327592298921381	37
